Skills hard to obtain  from applicants ,Professionals,Number,Percentage
Specialist knowledge for role / Role Expertise,Managers,2706,63
Specialist knowledge for role / Role Expertise,Professionals,11088,69
Specialist knowledge for role / Role Expertise,Associate Professionals,10777,70
Specialist knowledge for role / Role Expertise,Administrative/Clerical Staff,4137,54
Specialist knowledge for role / Role Expertise,Skilled Trades Occupations,19510,76
Specialist knowledge for role / Role Expertise,"Caring, Leisure and Other Services Staff",8468,64
Specialist knowledge for role / Role Expertise,Sales and Customer Services Staff,3700,51
Specialist knowledge for role / Role Expertise,Machine Operatives,5129,66
Specialist knowledge for role / Role Expertise,Elementary Staff,6370,53
Specialist knowledge for role / Role Expertise,Other Occupations,673,68
Specialist knowledge for role / Role Expertise,High-Skill,23823,70
Specialist knowledge for role / Role Expertise,Middle-Skill,23548,71
Specialist knowledge for role / Role Expertise,Service-Intensive,12158,60
Specialist knowledge for role / Role Expertise,Labour-Intensive,11379,59
Specialist knowledge for role / Role Expertise,Nationally ,68125,68
Solving complex problems,Managers,1902,44
Solving complex problems,Professionals,6916,43
Solving complex problems,Associate Professionals,7083,46
Solving complex problems,Administrative/Clerical Staff,3534,46
Solving complex problems,Skilled Trades Occupations,12124,47
Solving complex problems,"Caring, Leisure and Other Services Staff",4374,33
Solving complex problems,Sales and Customer Services Staff,2827,39
Solving complex problems,Machine Operatives,2679,34
Solving complex problems,Elementary Staff,4162,35
Solving complex problems,Other Occupations,601,61
Solving complex problems,High-Skill,15474,45
Solving complex problems,Middle-Skill,15597,47
Solving complex problems,Service-Intensive,7200,35
Solving complex problems,Labour-Intensive,6756,35
Solving complex problems,Nationally ,44152,44
Product knowledge expertise ,Managers,1936,45
Product knowledge expertise ,Professionals,5018,31
Product knowledge expertise ,Associate Professionals,7755,50
Product knowledge expertise ,Administrative/Clerical Staff,3796,49
Product knowledge expertise ,Skilled Trades Occupations,10644,41
Product knowledge expertise ,"Caring, Leisure and Other Services Staff",5038,38
Product knowledge expertise ,Sales and Customer Services Staff,3934,54
Product knowledge expertise ,Machine Operatives,2553,33
Product knowledge expertise ,Elementary Staff,5052,42
Product knowledge expertise ,Other Occupations,519,53
Product knowledge expertise ,High-Skill,14257,42
Product knowledge expertise ,Middle-Skill,14395,43
Product knowledge expertise ,Service-Intensive,8963,44
Product knowledge expertise ,Labour-Intensive,7486,39
Product knowledge expertise ,Nationally ,43809,44
Organizational knowledge,Managers,1774,41
Organizational knowledge,Professionals,4224,26
Organizational knowledge,Associate Professionals,5597,36
Organizational knowledge,Administrative/Clerical Staff,3157,41
Organizational knowledge,Skilled Trades Occupations,6942,27
Organizational knowledge,"Caring, Leisure and Other Services Staff",4702,36
Organizational knowledge,Sales and Customer Services Staff,2765,38
Organizational knowledge,Machine Operatives,2222,29
Organizational knowledge,Elementary Staff,5188,44
Organizational knowledge,Other Occupations,369,37
Organizational knowledge,High-Skill,11263,33
Organizational knowledge,Middle-Skill,10069,30
